# **************************************************************************************
# ThinkEngine Networks 2002
# **************************************************************************************
# Date|Time|Gender|Dialect|Phonetype|File Name|Call NO|Utt. NO|Start Time|End Time|Ortho
# ----+----+------+-------+---------+---------+-------+-------+----------+--------+-----
12.21.2001|03.50.03|male|nonNative|landlinephone|00000|000|WUWII00000_000.ulaw|0.582|1.576|{smack} Veton Kepuska
12.21.2001|03.50.15|male|nonNative|landlinephone|00000|001|WUWII00000_001.ulaw|0.572|1.164|Operator
12.21.2001|03.50.23|male|nonNative|landlinephone|00000|002|WUWII00000_002.ulaw|0.574|1.197|ThinkEngine
12.21.2001|03.50.30|male|nonNative|landlinephone|00000|003|WUWII00000_003.ulaw|0.595|1.184|[click] Onword
12.21.2001|03.50.38|male|nonNative|landlinephone|00000|004|WUWII00000_004.ulaw|0.530|1.278|[click] Wildfire
12.21.2001|03.50.44|male|nonNative|landlinephone|00000|005|WUWII00000_005.ulaw|0.488|1.160|{breath} Voyager
12.21.2001|03.51.06|male|nonNative|landlinephone|00000|006|WUWII00000_006.ulaw|6.572|7.196|{breath} this is a blah blah blah and then I am invoking a uh service by saying Operator [prices paid]
12.21.2001|03.51.29|male|nonNative|landlinephone|00000|007|WUWII00000_007.ulaw|15.969|16.506|{smack} well i'm +gonna use the second word now and um it's the name of our company and ah I'm +gonna ask pretend that I'm asking the other speaker to uh stop for a second speaking so I can invoke this service by saying ThinkEngine
12.21.2001|03.51.49|male|nonNative|landlinephone|00000|008|WUWII00000_008.ulaw|12.790|13.519|{smack} well yes i'm +gonna use the third word now and uh pretend that I'm speaking something meaningful at at the end I'm +gonna ah use the magic word Onword [voices]
12.21.2001|03.52.11|male|nonNative|landlinephone|00000|009|WUWII00000_009.ulaw|14.598|15.275|{smack} ok this is uh ach another name another ya wake up word name that is being used uh widely I guess okay and the name of that and I'm +gonna work faster by saying {smack} Wildfire [voices]
12.21.2001|03.52.32|male|nonNative|landlinephone|00000|010|WUWII00000_010.ulaw|14.646|15.325|{smack} this is a name of a shuttle and also it uh it's being used by (( )) recognizer as a ah wake up word that action so I'm +gonna use it right now {smack} Voyager
12.22.2001|11.02.08|male|nonNative|speakerphone|00001|000|WUWII00001_000.ulaw|0.532|2.084|Jeff Parkhurst [bang]
12.22.2001|11.02.19|male|nonNative|speakerphone|00001|001|WUWII00001_001.ulaw|0.570|1.243|Operator
12.22.2001|11.02.25|male|nonNative|speakerphone|00001|002|WUWII00001_002.ulaw|0.573|1.230|ThinkEngine
12.22.2001|11.02.32|male|nonNative|speakerphone|00001|003|WUWII00001_003.ulaw|0.586|1.128|Onword
12.22.2001|11.02.38|male|nonNative|speakerphone|00001|004|WUWII00001_004.ulaw|0.584|1.199|Wildfire [static]
12.22.2001|11.02.45|male|nonNative|speakerphone|00001|005|WUWII00001_005.ulaw|0.545|1.185|[static/] Voyager [/static]
12.22.2001|11.03.06|male|nonNative|speakerphone|00001|006|WUWII00001_006.ulaw|3.851|4.609|um goodmorning computer it's nice to talk to you Operator are you understanding me [bang]
12.22.2001|11.03.17|male|nonNative|speakerphone|00001|007|WUWII00001_007.ulaw|3.479|4.214|goodmorning computer it's nice to talk to you ThinkEngine
12.22.2001|11.03.20|male|nonNative|speakerphone|00001|008|WUWII00001_008.ulaw|0|0|I'm done now
12.22.2001|11.03.31|male|nonNative|speakerphone|00001|009|WUWII00001_009.ulaw|2.547|3.322|oh I've used this system before Wildfire did you get that
12.22.2001|11.03.44|male|nonNative|speakerphone|00001|010|WUWII00001_010.ulaw|3.546|4.298|oh ^Nuance makes this product it's called [bang] Voyager and I'm done
12.26.2001|01.15.56|male|native|cellphone|00002|000|WUWII00002_000.ulaw|0.797|1.510|[click] Rick Saltzman
12.26.2001|01.16.07|male|native|cellphone|00002|001|WUWII00002_001.ulaw|0.566|1.123|[click] Operator
12.26.2001|01.16.23|male|native|cellphone|00002|002|WUWII00002_002.ulaw|0.518|1.142|ThinkEngine
12.26.2001|01.16.29|male|native|cellphone|00002|003|WUWII00002_003.ulaw|0.496|1.019|Onword
12.26.2001|01.16.36|male|native|cellphone|00002|004|WUWII00002_004.ulaw|0.563|1.254|Wildfire
12.26.2001|01.16.41|male|native|cellphone|00002|005|WUWII00002_005.ulaw|0.606|1.139|Voyager
12.26.2001|01.16.58|male|native|cellphone|00002|006|WUWII00002_006.ulaw|1.960|2.540|{breath} free speech [click] Operator
12.26.2001|01.17.08|male|native|cellphone|00002|007|WUWII00002_007.ulaw|2.480|3.032|{breath} *unfree speech ThinkEngine
12.26.2001|01.17.17|male|native|cellphone|00002|008|WUWII00002_008.ulaw|2.184|2.642|speech free Onword
12.26.2001|01.17.27|male|native|cellphone|00002|009|WUWII00002_009.ulaw|3.147|3.835|[click] wake up word in the context of Wildfire
12.26.2001|01.17.37|male|native|cellphone|00002|010|WUWII00002_010.ulaw|3.378|3.993|[click] five oh eight five nine seven oh eight five twoVoyager
12.26.2001|01.18.24|male|native|landlinephone|00003|000|WUWII00003_000.ulaw|0.581|1.307|Rick Saltzman [static]
12.26.2001|01.18.35|male|native|landlinephone|00003|001|WUWII00003_001.ulaw|0.564|1.140|{breath} Operator
12.26.2001|01.18.41|male|native|landlinephone|00003|002|WUWII00003_002.ulaw|0.577|1.219|ThinkEngine [click]
12.26.2001|01.18.47|male|native|landlinephone|00003|003|WUWII00003_003.ulaw|0.559|1.304|{smack} Onword
12.26.2001|01.18.53|male|native|landlinephone|00003|004|WUWII00003_004.ulaw|0.554|1.202|Wildfire
12.26.2001|01.18.59|male|native|landlinephone|00003|005|WUWII00003_005.ulaw|0.513|1.235|[click] Voyager
12.26.2001|01.19.18|male|native|landlinephone|00003|006|WUWII00003_006.ulaw|2.363|2.976|{breath} I'm going to use the word Operator in a sentence
12.26.2001|01.19.29|male|native|landlinephone|00003|007|WUWII00003_007.ulaw|2.202|2.726|now I'm using the word [click] ThinkEngine [click] in a sentence
12.26.2001|01.19.39|male|native|landlinephone|00003|008|WUWII00003_008.ulaw|2.130|2.779|{smack} so how about that Onword in a sentence
12.26.2001|01.19.48|male|native|landlinephone|00003|009|WUWII00003_009.ulaw|1.921|2.737|what about Wildfire
12.26.2001|01.19.59|male|native|landlinephone|00003|010|WUWII00003_010.ulaw|0.541|1.376| Voyager somewhere [shuffling around]
12.26.2001|02.19.41|male|native|landlinephone|00004|000|WUWII00004_000.ulaw|0.587|1.422|[click] Mike Speciner
12.26.2001|02.19.52|male|native|landlinephone|00004|001|WUWII00004_001.ulaw|0.562|1.107|Operator
12.26.2001|02.19.58|male|native|landlinephone|00004|002|WUWII00004_002.ulaw|0.499|1.127|[click] ThinkEngine
12.26.2001|02.20.04|male|native|landlinephone|00004|003|WUWII00004_003.ulaw|0.552|1.040|Onword
12.26.2001|02.20.10|male|native|landlinephone|00004|004|WUWII00004_004.ulaw|0.579|1.159|[voices] Wildfire
12.26.2001|02.20.17|male|native|landlinephone|00004|005|WUWII00004_005.ulaw|0.558|1.004|[click] Voyager
12.26.2001|02.20.35|male|native|landlinephone|00004|006|WUWII00004_006.ulaw|2.727|3.379|{smack} I'd like to see the new Operator
12.26.2001|02.20.44|male|native|landlinephone|00004|007|WUWII00004_007.ulaw|1.877|2.494|{smack} I work for [click] ThinkEngine [voices]
12.26.2001|02.20.56|male|native|landlinephone|00004|008|WUWII00004_008.ulaw|3.130|3.822|{breath} I'd like to go [click] Onword_ and upword
